#TYPE Selected.System.Management.Automation.PSCustomObject
Hostname;DisplayName;Status;SIDs
W008009;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008009;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008009;Increase a process working set;N/A;BUILTIN\Users
W008009;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008009;Load and unload device drivers;Match;BUILTIN\Administrators
W008009;Lock pages in memory;Match;Empty
W008009;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users,BUILTIN\IIS_IUSRS
W008009;Log on as a service;N/A;NT SERVICE\ALL SERVICES,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008009;Manage auditing and security log;Match;BUILTIN\Administrators
W008009;Modify firmware environment values;Match;BUILTIN\Administrators
W008009;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008009;Profile single process;Match;BUILTIN\Administrators
W008009;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008009;Remove computer from docking station;N/A;BUILTIN\Administrators
W008009;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,IIS APPPOOL\.NET v4.5,IIS APPPOOL\DefaultAppPool,IIS APPPOOL\.NET v4.5 Classic
W008009;Restore files and directories;Match;BUILTIN\Administrators
W008009;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008009;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008017;;N/A;BUILTIN\Administrators
W008017;Access Credential Manager as a trusted caller;Match;Empty
W008017;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008017;Act as part of the operating system;Match;Empty
W008017;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators
W008017;Allow log on locally;Match;BUILTIN\Administrators
W008017;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008017;Back up files and directories;Match;BUILTIN\Administrators
W008017;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008017;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008017;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008017;Create a pagefile;Match;BUILTIN\Administrators
W008017;Create a token object;Match;Empty
W008017;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008017;Create permanent shared objects;Match;Empty
W008017;Create symbolic links;N/A;BUILTIN\Administrators
W008017;Debug programs;Match;BUILTIN\Administrators
W008017;Deny access to this computer from the network;Different;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008017;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008017;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008017;Deny log on locally;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008017;Deny log on through Remote Desktop Services;Different;NT AUTHORITY\Local account,FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008017;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008017;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008017;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008017;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008017;Increase a process working set;N/A;BUILTIN\Users
W008017;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008017;Load and unload device drivers;Match;BUILTIN\Administrators
W008017;Lock pages in memory;Match;Empty
W008017;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users
W008017;Log on as a service;N/A;NT SERVICE\ALL SERVICES
W008017;Manage auditing and security log;Match;BUILTIN\Administrators
W008017;Modify firmware environment values;Match;BUILTIN\Administrators
W008017;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008017;Profile single process;Match;BUILTIN\Administrators
W008017;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008017;Remove computer from docking station;N/A;BUILTIN\Administrators
W008017;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008017;Restore files and directories;Match;BUILTIN\Administrators
W008017;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008017;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008017;;N/A;BUILTIN\Administrators
W008017;Access Credential Manager as a trusted caller;Match;Empty
W008017;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008017;Act as part of the operating system;Match;Empty
W008017;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators
W008017;Allow log on locally;Match;BUILTIN\Administrators
W008017;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008017;Back up files and directories;Match;BUILTIN\Administrators
W008017;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008017;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008017;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008017;Create a pagefile;Match;BUILTIN\Administrators
W008017;Create a token object;Match;Empty
W008017;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008017;Create permanent shared objects;Match;Empty
W008017;Create symbolic links;N/A;BUILTIN\Administrators
W008017;Debug programs;Match;BUILTIN\Administrators
W008017;Deny access to this computer from the network;Different;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008017;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008017;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008017;Deny log on locally;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008017;Deny log on through Remote Desktop Services;Different;NT AUTHORITY\Local account,FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008017;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008017;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008017;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008017;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008017;Increase a process working set;N/A;BUILTIN\Users
W008017;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008017;Load and unload device drivers;Match;BUILTIN\Administrators
W008017;Lock pages in memory;Match;Empty
W008017;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users
W008017;Log on as a service;N/A;NT SERVICE\ALL SERVICES
W008017;Manage auditing and security log;Match;BUILTIN\Administrators
W008017;Modify firmware environment values;Match;BUILTIN\Administrators
W008017;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008017;Profile single process;Match;BUILTIN\Administrators
W008017;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008017;Remove computer from docking station;N/A;BUILTIN\Administrators
W008017;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008017;Restore files and directories;Match;BUILTIN\Administrators
W008017;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008017;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008018;;N/A;BUILTIN\Administrators
W008018;Access Credential Manager as a trusted caller;Match;Empty
W008018;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008018;Act as part of the operating system;Match;Empty
W008018;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators
W008018;Allow log on locally;Match;BUILTIN\Administrators
W008018;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008018;Back up files and directories;Match;BUILTIN\Administrators
W008018;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008018;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008018;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008018;Create a pagefile;Match;BUILTIN\Administrators
W008018;Create a token object;Match;Empty
W008018;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008018;Create permanent shared objects;Match;Empty
W008018;Create symbolic links;N/A;BUILTIN\Administrators
W008018;Debug programs;Match;BUILTIN\Administrators
W008018;Deny access to this computer from the network;Different;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008018;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008018;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008018;Deny log on locally;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008018;Deny log on through Remote Desktop Services;Different;NT AUTHORITY\Local account,FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008018;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008018;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008018;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008018;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008018;Increase a process working set;N/A;BUILTIN\Users
W008018;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008018;Load and unload device drivers;Match;BUILTIN\Administrators
W008018;Lock pages in memory;Match;Empty
W008018;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users
W008018;Log on as a service;N/A;NT SERVICE\ALL SERVICES
W008018;Manage auditing and security log;Match;BUILTIN\Administrators
W008018;Modify firmware environment values;Match;BUILTIN\Administrators
W008018;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008018;Profile single process;Match;BUILTIN\Administrators
W008018;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008018;Remove computer from docking station;N/A;BUILTIN\Administrators
W008018;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008018;Restore files and directories;Match;BUILTIN\Administrators
W008018;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008018;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008019;;N/A;BUILTIN\Administrators
W008019;Access Credential Manager as a trusted caller;Match;Empty
W008019;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008019;Act as part of the operating system;Match;Empty
W008019;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators
W008019;Allow log on locally;Match;BUILTIN\Administrators
W008019;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008019;Back up files and directories;Match;BUILTIN\Administrators
W008019;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008019;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008019;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008019;Create a pagefile;Match;BUILTIN\Administrators
W008019;Create a token object;Match;Empty
W008019;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008019;Create permanent shared objects;Match;Empty
W008019;Create symbolic links;N/A;BUILTIN\Administrators
W008019;Debug programs;Match;BUILTIN\Administrators
W008019;Deny access to this computer from the network;Different;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008019;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008019;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008019;Deny log on locally;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008019;Deny log on through Remote Desktop Services;Different;NT AUTHORITY\Local account,FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008019;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008019;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008019;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008019;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008019;Increase a process working set;N/A;BUILTIN\Users
W008019;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008019;Load and unload device drivers;Match;BUILTIN\Administrators
W008019;Lock pages in memory;Match;Empty
W008019;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users
W008019;Log on as a service;N/A;NT SERVICE\ALL SERVICES
W008019;Manage auditing and security log;Match;BUILTIN\Administrators
W008019;Modify firmware environment values;Match;BUILTIN\Administrators
W008019;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008019;Profile single process;Match;BUILTIN\Administrators
W008019;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008019;Remove computer from docking station;N/A;BUILTIN\Administrators
W008019;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008019;Restore files and directories;Match;BUILTIN\Administrators
W008019;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008019;Take ownership of files or other objects;Match;BUILTIN\Administrators
W008020;;N/A;BUILTIN\Administrators
W008020;Access Credential Manager as a trusted caller;Match;Empty
W008020;Access this computer from the network;Match;NT AUTHORITY\Authenticated Users,BUILTIN\Administrators
W008020;Act as part of the operating system;Match;Empty
W008020;Adjust memory quotas for a process;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators
W008020;Allow log on locally;Match;BUILTIN\Administrators
W008020;Allow log on through Remote Desktop Services;N/A;BUILTIN\Administrators,BUILTIN\Remote Desktop Users
W008020;Back up files and directories;Match;BUILTIN\Administrators
W008020;Bypass traverse checking;N/A;Everyone,NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,BUILTIN\Users,BUILTIN\Backup Operators
W008020;Change the system time;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008020;Change the time zone;N/A;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators
W008020;Create a pagefile;Match;BUILTIN\Administrators
W008020;Create a token object;Match;Empty
W008020;Create global objects;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008020;Create permanent shared objects;Match;Empty
W008020;Create symbolic links;N/A;BUILTIN\Administrators
W008020;Debug programs;Match;BUILTIN\Administrators
W008020;Deny access to this computer from the network;Different;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008020;Deny log on as a batch job;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008020;Deny log on as a service;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008020;Deny log on locally;N/A;FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins,BUILTIN\Guests
W008020;Deny log on through Remote Desktop Services;Different;NT AUTHORITY\Local account,FROXXEN\Task-Computer-DenyLogon-T1,FROXXEN\Task-Computer-DenyLogon-ServiceAccounts,FROXXEN\Domain Admins,FROXXEN\Schema Admins,FROXXEN\Enterprise Admins
W008020;Enable computer and user accounts to be trusted for delegation;Match;Empty
W008020;Force shutdown from a remote system;Match;BUILTIN\Administrators
W008020;Generate security audits;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008020;Impersonate a client after authentication;Match;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE,BUILTIN\Administrators,NT AUTHORITY\SERVICE
W008020;Increase a process working set;N/A;BUILTIN\Users
W008020;Increase scheduling priority;N/A;BUILTIN\Administrators,Window Manager\Window Manager Group
W008020;Load and unload device drivers;Match;BUILTIN\Administrators
W008020;Lock pages in memory;Match;Empty
W008020;Log on as a batch job;N/A;BUILTIN\Administrators,BUILTIN\Backup Operators,BUILTIN\Performance Log Users
W008020;Log on as a service;N/A;NT SERVICE\ALL SERVICES
W008020;Manage auditing and security log;Match;BUILTIN\Administrators
W008020;Modify firmware environment values;Match;BUILTIN\Administrators
W008020;Perform volume maintenance tasks;Match;BUILTIN\Administrators
W008020;Profile single process;Match;BUILTIN\Administrators
W008020;Profile system performance;N/A;BUILTIN\Administrators,NT SERVICE\WdiServiceHost
W008020;Remove computer from docking station;N/A;BUILTIN\Administrators
W008020;Replace a process level token;N/A;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE
W008020;Restore files and directories;Match;BUILTIN\Administrators
W008020;Shut down the system;N/A;FROXXEN\Task-Server-Shutdown_System,BUILTIN\Administrators,BUILTIN\Backup Operators
W008020;Take ownership of files or other objects;Match;BUILTIN\Administrators
